Graduate Survey Questions,,,,,
,,,,,
Q1 How engaged do you feel with your coursework and academic activities?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,5,7,19
Percentage,0,0.03125,0.15625,0.21875,0.59375
,,,,,
,,,,,
Q2 How likely are you to feel that you receive the support you need to succeed in your coursework and academic activities?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,0,4,13,14
Percentage,0.03125,0,0.125,0.40625,0.4375
,,,,,
,,,,,
Q3 How likely are you to feel supported by your faculty and peers in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,0,3,8,20
Percentage,0.03125,0,0.09375,0.25,0.625
,,,,,
,,,,,
Q4 How would you rate the program's inclusivity and sense of belonging?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,2,7,22
Percentage,0,0.03125,0.0625,0.21875,0.6875
,,,,,
,,,,,
Q5 How would you rate your access to health and wellness resources?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,4,11,11,5
Percentage,0.03125,0.125,0.34375,0.34375,0.15625
,,,,,
,,,,,
Q6 How often do you feel supported in publishing scholarly works or presenting your work in conferences?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,3,12,8,8
Percentage,0,0.096774194,0.387096774,0.258064516,0.258064516
,,,,,
,,,,,
Q7 How likely are you to feel supported in developing scholarly practices in this program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,3,2,13,13
Percentage,0.03125,0.09375,0.0625,0.40625,0.40625
,,,,,
,,,,,
Q8 How satisfied are you with your academic success within the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,2,5,8,16
Percentage,0.03125,0.0625,0.15625,0.25,0.5
,,,,,
,,,,,
Q9 How prepared do you feel for the workforce or further education as a result of the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,8,13,10
Percentage,0,0,0.258064516,0.419354839,0.322580645
,,,,,
,,,,,
Q10 How manageable do you find the time-to-degree requirements and expectations?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,2,10,9,11
Percentage,0,0.0625,0.3125,0.28125,0.34375
,,,,,
,,,,,
"Q11 How satisfied are you with the availability of financial aid, scholarships, or assistantships?",,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,6,7,4,14
Percentage,0,0.193548387,0.225806452,0.129032258,0.451612903
,,,,,
,,,,,
Q12 How would you rate your access to faculty mentorship and guidance throughout the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,6,9,16
Percentage,0,0.03125,0.1875,0.28125,0.5
,,,,,
,,,,,
Q13 How often do you feel included in departmental decision-making or activities?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,3,3,7,8,11
Percentage,0.09375,0.09375,0.21875,0.25,0.34375
,,,,,
,,,,,
Q14 How would you rate the balance between academic workload and personal life?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,5,7,7,7,6
Percentage,0.15625,0.21875,0.21875,0.21875,0.1875
,,,,,
,,,,,
Q15 How frequently do you face challenges that affect the time it takes to complete your degree requirements?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,2,6,12,8,4
Percentage,0.0625,0.1875,0.375,0.25,0.125
,,,,,
,,,,,
Q16 How well does the program's curriculum align with workforce preparation or further graduate education?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,2,6,14,10
Percentage,0,0.0625,0.1875,0.4375,0.3125
,,,,,
,,,,,
Q17 How would you rate the academic rigor of the program's curriculum?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,2,8,10,12
Percentage,0,0.0625,0.25,0.3125,0.375
,,,,,
,,,,,
Q18 How would you rate the level of engagement the curriculum fosters among students?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,2,11,15,11
Percentage,0.025,0.05,0.275,0.375,0.275
,,,,,
,,,,,
Q19 How likely are you to suggest changes to the required coursework in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,3,2,11,7,9
Percentage,0.09375,0.0625,0.34375,0.21875,0.28125
,,,,,
,,,,,
Q20 How well do the graduate courses prepare you for comprehensive exams?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,2,6,5,19
Percentage,0,0.0625,0.1875,0.15625,0.59375
,,,,,
,,,,,
Q21 How likely are you to suggest expanding the variety of elective courses offered in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,6,11,14
Percentage,0,0.03125,0.1875,0.34375,0.4375
,,,,,
,,,,,
Q22 How relevant do you find the course content to your career or academic goals?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,1,7,15,8
Percentage,0.03125,0.03125,0.21875,0.46875,0.25
,,,,,
,,,,,
Q23 How often do you feel that coursework assignments and assessments reflect real-world applications in your field?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,1,7,15,8
Percentage,0.03125,0.03125,0.21875,0.46875,0.25
,,,,,
,,,,,
Q24 How effectively does the program foster collaboration and networking opportunities?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,7,10,6,9
Percentage,0,0.21875,0.3125,0.1875,0.28125
,,,,,
,,,,,
"Q25 How satisfied are you with the opportunities for internships, practicums, or other hands-on experiences?",,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,3,7,12,3,7
Percentage,0.09375,0.21875,0.375,0.09375,0.21875
,,,,,
,,,,,
Alumni Survey,,,,,
,,,,,
Q1 How satisfied were you with the overall quality of the graduate program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,1,2,2
Percentage,0,0,0.2,0.4,0.4
,,,,,
,,,,,
Q2 How well did the program meet your academic expectations?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,3,1,0
Percentage,0,0.2,0.6,0.2,0
,,,,,
,,,,,
Q3 How would you rate the faculty support and mentorship you received during your time in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,1,2
Percentage,0,0.2,0.2,0.2,0.4
,,,,,
,,,,,
Q4 How satisfied were you with the research opportunities provided during your time in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,0,1,2,1
Percentage,0.2,0,0.2,0.4,0.2
,,,,,
,,,,,
Q5 How satisfied were you with the teaching opportunities provided during your time in the program?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,0,1,4
Percentage,0,0,0,0.2,0.8
,,,,,
,,,,,
Q6 How would you rate the sense of community among students and faculty during your studies?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,0,3,1
Percentage,0,0.2,0,0.6,0.2
,,,,,
,,,,,
Q7 How well did the program support your mental health and well-being?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,2,2,1
Percentage,0,0,0.4,0.4,0.2
,,,,,
,,,,,
Q8 How well did the program prepare you for your current career or further academic pursuits?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,0,3,1
Percentage,0,0.2,0,0.6,0.2
,,,,,
,,,,,
Q9 How relevant was the curriculum to your professional or academic goals after graduation?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,0,1,3
Percentage,0,0.2,0,0.2,0.6
,,,,,
,,,,,
Q10 How useful were the skills you developed in the program for your current job or academic work?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,1,1,3
Percentage,0,0,0.2,0.2,0.6
,,,,,
,,,,,
Q11 Did the program provide adequate networking opportunities for you to connect with professionals in your field?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,2,1
Percentage,0,0.2,0.2,0.4,0.2
,,,,,
,,,,,
Q12 How well did the program prepare you for real-world applications in your field?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,2,1
Percentage,0,0.2,0.2,0.4,0.2
,,,,,
,,,,,
Q13 How likely are you to recommend this program to someone considering graduate studies in economics?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,0,1,2,2
Percentage,0,0,0.2,0.4,0.4
,,,,,
,,,,,
Q14 How would you rate the academic rigor of the program's coursework in preparing you for your post-graduate endeavors?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,0,1,1,2,1
Percentage,0,0.2,0.2,0.4,0.2
,,,,,
,,,,,
Q15 How well did the program's curriculum align with the skills and knowledge needed for your current career or studies?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,0,0,3,1
Percentage,0.2,0,0,0.6,0.2
,,,,,
,,,,,
Q16 How satisfied were you with the opportunities for interdisciplinary studies or collaboration with other departments?,,,,,
,,,,,
Answers,No Engagement,Low Engagement,Neutral,Moderately Engaged,Highly Engaged
Number,1,1,2,0,1
Percentage,0.2,0.2,0.4,0,0.2
