Survey Type,Question,Graduate Question Number,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Total Responses,Weighted Average,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,,,,,,
Graduate Survey,Q1 How engaged do you feel with your coursework and academic activities?,Q1,0,1,5,7,19,32, 4.38 ,Q1,NO ENGAGEMENT,LOW ENGAGEMENT,NEUTRAL,MODERATELY ENGAGED,HIGHLY ENGAGED,,,,,,
Graduate Survey,Q2 How likely are you to feel that you receive the support you need to succeed in your coursework and academic activities?,Q2,1,0,4,13,14,32, 4.22 ,Q2,VERY UNLIKELY,SOMEWHAT UNLIKELY,NEITHER LIKELY NOR UNLIKELY,SOMEWHAT LIKELY,VERY LIKELY,,,,,,
Graduate Survey,Q3 How likely are you to feel supported by your faculty and peers in the program?,Q3,1,0,3,8,20,32, 4.44 ,Q3,VERY UNLIKELY,SOMEWHAT UNLIKELY,NEITHER LIKELY NOR UNLIKELY,SOMEWHAT LIKELY,VERY LIKELY,,,,,,
Graduate Survey,Q4 How would you rate the program's inclusivity and sense of belonging?,Q4,0,1,2,7,22,32, 4.56 ,Q4,VERY EXCLUSIVE,SOMEWHAT EXCLUSIVE,NEITHER INCLUSIVE NOR EXCLUSIVE,SOMEWHAT INCLUSIVE,VERY INCLUSIVE,,,,,,
Graduate Survey,Q5 How would you rate your access to health and wellness resources?,Q5,1,4,11,11,5,32, 3.47 ,Q5,VERY POOR,POOR,AVERAGE,GOOD,EXCELLENT,,,,,,
Graduate Survey,Q6 How often do you feel supported in publishing scholarly works or presenting your work in conferences?,Q6,0,3,12,8,8,31, 3.68 ,Q6,NEVER,RARELY,OCCASIONALLY,OFTEN,VERY OFTEN,,,,,,
Graduate Survey,Q7 How likely are you to feel supported in developing scholarly practices in this program?,Q7,1,3,2,13,13,32, 4.06 ,Q7,VERY UNLIKELY,SOMEWHAT UNLIKELY,NEITHER LIKELY NOR UNLIKELY,SOMEWHAT LIKELY,VERY LIKELY,,,,,,
Graduate Survey,Q8 How satisfied are you with your academic success within the program?,Q8,1,2,5,8,16,32, 4.13 ,Q8,VERY DISSATISFIED,DISSATISFIED,NEUTRAL,SATISFIED,VERY SATISFIED,,,,,,
Graduate Survey,Q9 How prepared do you feel for the workforce or further education as a result of the program?,Q9,0,0,8,13,10,31, 4.06 ,Q9,VERY UNPREPARED,SOMEWHAT UNPREPARED,NEUTRAL,SOMEWHAT PREPARED,VERY PREPARED,,,,,,
Graduate Survey,Q10 How manageable do you find the time-to-degree requirements and expectations?,Q10,0,2,10,9,11,32, 3.91 ,Q10,VERY UNMANAGEABLE,SOMEWHAT UNMANAGEABLE,NEUTRAL,SOMEWHAT MANAGEABLE,VERY MANAGEABLE,,,,,,
Graduate Survey,"Q11 How satisfied are you with the availability of financial aid, scholarships, or assistantships?",Q11,0,6,7,4,14,31, 3.84 ,Q11,VERY DISSATISFIED,DISSATISFIED,NEUTRAL,SATISFIED,VERY SATISFIED,,,,,,
Graduate Survey,Q12 How would you rate your access to faculty mentorship and guidance throughout the program?,Q12,0,1,6,9,16,32, 4.25 ,Q12,VERY POOR,POOR,AVERAGE,GOOD,EXCELLENT,,,,,,
Graduate Survey,Q13 How often do you feel included in departmental decision-making or activities?,Q13,3,3,7,8,11,32, 3.66 ,Q13,NEVER,RARELY,OCCASIONALLY,OFTEN,VERY OFTEN,,,,,,
Graduate Survey,Q14 How would you rate the balance between academic workload and personal life?,Q14,5,7,7,7,6,32, 3.06 ,Q14,VERY UNBALANCED,SOMEWHAT UNBALANCED,NEUTRAL,SOMEWHAT BALANCED,VERY BALANCED,,,,,,
Graduate Survey,Q15 How frequently do you face challenges that affect the time it takes to complete your degree requirements?,Q15,2,6,12,8,4,32, 3.19 ,Q15,NEVER,RARELY,OCCASIONALLY,FREQUENTLY,VERY FREQUENTLY,,,,,,
Graduate Survey,Q16 How well does the program's curriculum align with workforce preparation or further graduate education?,Q16,0,2,6,14,10,32, 4.00 ,Q16,VERY POORLY,POORLY,NEUTRAL,WELL,VERY WELL,,,,,,
Graduate Survey,Q17 How would you rate the academic rigor of the program's curriculum?,Q17,0,2,8,10,12,32, 4.00 ,Q17,NOT RIGOROUS AT ALL,SLIGHTLY RIGOROUS,MODERATELY RIGOROUS,VERY RIGOROUS,EXTREMELY RIGOROUS,,,,,,
Graduate Survey,Q18 How would you rate the level of engagement the curriculum fosters among students?,Q18,1,2,11,15,11,32, 4.78 ,Q18,VERY DISENGAGING,SOMEWHAT DISENGAGING,NEUTRAL,SOMEWHAT ENGAGING,VERY ENGAGING,,,,,,
Graduate Survey,Q19 How likely are you to suggest changes to the required coursework in the program?,Q19,3,2,11,7,9,32, 3.53 ,Q19,VERY UNLIKELY,SOMEWHAT UNLIKELY,NEITHER LIKELY NOR UNLIKELY,SOMEWHAT LIKELY,VERY LIKELY,,,,,,
Graduate Survey,Q20 How well do the graduate courses prepare you for comprehensive exams?,Q20,0,2,6,5,19,32, 4.28 ,Q20,VERY POORLY,POORLY,NEUTRAL,WELL,VERY WELL,,,,,,
Graduate Survey,Q21 How likely are you to suggest expanding the variety of elective courses offered in the program?,Q21,0,1,6,11,14,32, 4.19 ,Q21,VERY UNLIKELY,SOMEWHAT UNLIKELY,NEITHER LIKELY NOR UNLIKELY,SOMEWHAT LIKELY,VERY LIKELY,,,,,,
Graduate Survey,Q22 How relevant do you find the course content to your career or academic goals?,Q22,1,1,7,15,8,32, 3.88 ,Q22,VERY IRRELEVANT,SOMEWHAT IRRELEVANT,NEUTRAL,SOMEWHAT RELEVANT,VERY RELEVANT,,,,,,
Graduate Survey,Q23 How often do you feel that coursework assignments and assessments reflect real-world applications in your field?,Q23,1,1,7,15,8,32, 3.88 ,Q23,NEVER,RARELY,OCCASIONALLY,OFTEN,VERY OFTEN,,,,,,
Graduate Survey,Q24 How effectively does the program foster collaboration and networking opportunities?,Q24,0,7,10,6,9,32, 3.53 ,Q24,NOT EFFECTIVELY AT ALL,NOT VERY EFFECTIVELY,SOMEWHAT EFFECTIVELY,VERY EFFECTIVELY,EXTREMELY EFFECTIVELY,,,,,,
Graduate Survey,"Q25 How satisfied are you with the opportunities for internships, practicums, or other hands-on experiences?",Q25,3,7,12,3,7,32, 3.13 ,Q25,VERY DISSATISFIED,DISSATISFIED,NEUTRAL,SATISFIED,VERY SATISFIED,,,,,,
,,,,,,,,,,,,,,,,,,,,,
